source_provider,provider_item_id,provider_player_id,game_version,player_name,rating,primary_position,alternative_positions,card_type,rarity,pace,shooting,passing,dribbling,defending,physical,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,detailed_stats,playstyles,playstyles_plus,roles,skill_moves,weak_foot,preferred_foot,club,league,nation,player_image_url,card_image_url,source_url,collected_at,raw_provider_data
WEFUT,1,227203,FC27,Alexia Putellas,91,CM,,Gold,Rare,80,90,91,92,72,75,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/227203.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":0,""raw_face_stats"":[80,90,91,92,72,75],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,2,239085,FC27,Haaland,91,ST,,Gold,Rare,87,92,71,80,47,89,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/239085.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":1,""raw_face_stats"":[87,92,71,80,47,89],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,3,231747,FC27,Mbappé,91,ST,,Gold,Rare,96,91,80,92,29,76,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/231747.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":2,""raw_face_stats"":[96,91,80,92,29,76],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,4,246219,FC27,Shaw,90,ST,,Gold,Rare,79,90,71,81,42,88,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/246219.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":3,""raw_face_stats"":[79,90,71,81,42,88],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,5,241667,FC27,Aitana Bonmatí,90,CM,,Gold,Rare,80,85,86,88,75,72,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/241667.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":4,""raw_face_stats"":[80,85,86,88,75,72],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,6,231866,FC27,Rodri,90,CDM,,Gold,Rare,62,78,86,81,85,81,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/231866.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":5,""raw_face_stats"":[62,78,86,81,85,81],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,7,231443,FC27,Dembélé,90,ST,,Gold,Rare,90,89,83,93,55,70,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/231443.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":6,""raw_face_stats"":[90,89,83,93,55,70],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,8,255253,FC27,Vitinha,90,CM,,Gold,Rare,72,81,88,91,75,70,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/255253.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":7,""raw_face_stats"":[72,81,88,91,75,70],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,9,202126,FC27,Kane,90,ST,,Gold,Rare,62,94,83,82,49,83,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/202126.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":8,""raw_face_stats"":[62,94,83,82,49,83],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
WEFUT,10,247827,FC27,Olise,90,RM,,Gold,Rare,83,82,89,91,47,69,,,,,,,,,,,,,,,,,https://static.wefut.com/assets/images/fut27/playeravatars/247827.png?27,,https://wefut.com/player/latest/27/0,2026-09-08T16:28:17-03:00,"{""listing_offset"":0,""listing_index"":9,""raw_face_stats"":[83,82,89,91,47,69],""raw_face_stat_semantics"":""PAC/SHO/PAS/DRI/DEF/PHY""}"
